name,categories,address,lat,lng,price,likes,photos,tips,rating,ratingSignals
اطيب كبده,Breakfast Spot,"الرياض 14716, المملكة العربية السعودية",24.55412,46.701401,cheap,0,0,0,7.5360181223257,
بيتزا شيخ البلد,Pizza Place,"شارع الستين الشفاء, الرياض, المملكة العربية السعودية",24.5555174849309,46.702478624839,cheap,0,1,0,7.5360181223257,
مجمع دستاران الطبي,Swiss Restaurant,المملكة العربية السعودية,24.551931,46.712112,expensive,6,5,1,7.1,8
4اسياخ,Kebab Restaurant,"الرياض 14716, المملكة العربية السعودية",24.554067,46.725276,cheap,0,2,0,7.5360181223257,
البيك,"Fried Chicken Joint, Fast Food Restaurant","الرياض 14718, المملكة العربية السعودية",24.5561920655266,46.7273450198025,cheap,43,73,16,9,56
قهوه المغرب,Coffee Shop,المملكة العربية السعودية,24.5566528261586,46.7267649872378,cheap,5,6,1,7.3,8
McDonalds (ماكدونالدز),"Fast Food Restaurant, American Restaurant","حي بدر (طريق ابن تيمية), الرياض, المملكة العربية السعودية",24.5580220872139,46.7049995549138,cheap,44,53,4,6.7,74
شواية الخليج,Middle Eastern Restaurant,"Alshifa (Ibn Taimeah St.), الرياض, المملكة العربية السعودية",24.5574635908151,46.7037587409431,moderate,13,17,4,8.5,14
Saldwich,Salad Place,"Ibn Taymeeyah Rd, Ash Shifa, الرياض, المملكة العربية السعودية",24.557228,46.703714,cheap,2,12,0,7.5360181223257,
Dunkin Donuts (دانكن دونتس),Donut Shop,"حي بدر (شارع ابن تيمية), الرياض, المملكة العربية السعودية",24.5586141120463,46.7057626805525,cheap,548,845,29,8.8,665
أمبراطور الشورما,Middle Eastern Restaurant,"حي الشفا, الرياض, المملكة العربية السعودية",24.559594221223,46.7059367457825,moderate,22,11,9,7.7,28
برجر كنج Burger King,Burger Joint,المملكة العربية السعودية,24.5594008481178,46.7056305592097,cheap,10,9,2,7.3,13
الليوان,Fast Food Restaurant,المملكة العربية السعودية,24.5592600610369,46.7052955387962,cheap,5,11,1,7.5360181223257,
AANI & DANI (آني وداني),Dessert Shop,"الرياض, المملكة العربية السعودية",24.5592841370795,46.7053071677708,cheap,14,20,1,8.3,15
Ice Cream Rolls (ايسكريم رولز),Ice Cream Shop,"شارع ابن تيمية, الرياض 14716, المملكة العربية السعودية",24.558697,46.705064,cheap,4,10,2,7.5360181223257,
Kudu (كودو),Fast Food Restaurant,"تقاطع المدارس مع الستين, الرياض, المملكة العربية السعودية",24.5614176917277,46.7074755709477,cheap,7,16,0,7.5360181223257,
سنابل السلام,Dessert Shop,المملكة العربية السعودية,24.5590210152905,46.7051304525994,cheap,1,2,0,7.5360181223257,
فوال الطائف,Breakfast Spot,"الشفا (شارع الترمذي), الرياض, المملكة العربية السعودية",24.55853,46.711395,cheap,1,2,0,7.5360181223257,
V12 Coffee,Coffee Shop,"الرياض 14716, المملكة العربية السعودية",24.557913,46.711351,cheap,0,2,0,7.5360181223257,
بلاك هارت,Coffee Shop,"الرياض 14716, المملكة العربية السعودية",24.557254,46.712966,cheap,1,3,1,7.5360181223257,
Akher Rashfa (آخر رشفة),Juice Bar,"الرياض 14716, المملكة العربية السعودية",24.55784,46.712016,cheap,0,1,0,7.5360181223257,
H-19 othaim mkt. alshifa,Burger Joint,"Othaim Mkt (Ben Tanmiya), Riyadh, المملكة العربية السعودية",24.5616646178511,46.7076143259883,cheap,5,1,2,5.6,10
لا ميزون,Bakery,"الرياض 14716, المملكة العربية السعودية",24.55994,46.70631,cheap,0,0,0,7.5360181223257,
Shawahe (شواهي),Tea Room,"حي الشفا (طريق ابن تيمية), الرياض, المملكة العربية السعودية",24.560181,46.706346,moderate,0,1,0,7.5360181223257,
مطعم أبو سامي للوجبات السريعة,American Restaurant,المملكة العربية السعودية,24.5584535796046,46.7115102963995,moderate,4,3,0,7.5360181223257,
الكريب الذهبي,Coffee Shop,"الرياض 14716, المملكة العربية السعودية",24.560308,46.706362,cheap,0,2,0,7.5360181223257,
فوال الافغاني,Breakfast Spot,"الرياض 14716, المملكة العربية السعودية",24.558365,46.711171,cheap,1,2,1,7.5360181223257,
مطعم القصر التركي,Turkish Restaurant,المملكة العربية السعودية,24.560411097524,46.7069376321153,moderate,5,10,4,5.4,11
Burger King - Shifa,Burger Joint,"Nahr Al Barduni, Next to Sport Ghornata, Ash Shifa, الرياض 14716, المملكة العربية السعودية",24.559312,46.705847,cheap,0,0,0,7.5360181223257,
turkish palace,Turkish Restaurant,المملكة العربية السعودية,24.560237427854,46.7068338200235,moderate,1,4,2,7.5360181223257,
مخبز الديوان للتميس,Bakery,"Ar Riyadh (Al Muthana Ibn Haritha), المملكة العربية السعودية",24.5587727711548,46.7072396321518,cheap,0,0,0,7.5360181223257,
فن الكنافة,Dessert Shop,"الشفا, الرياض, المملكة العربية السعودية",24.558392,46.704936,cheap,0,3,0,7.5360181223257,
مطاعم سحابة الحجاز,Middle Eastern Restaurant,"Ibn Taymeeyah Road, الرياض 14716, المملكة العربية السعودية",24.560678,46.7071,moderate,0,0,0,7.5360181223257,
Fuddruckers,American Restaurant,"العليا, الرياض, المملكة العربية السعودية",24.5622,46.7104,moderate,2,1,0,7.6,2
